Indicator,Date,Value
Monthly Atmospheric Carbon Dioxide Concentrations,1990-07-01,354.89
Monthly Atmospheric Carbon Dioxide Concentrations,1990-08-01,353.06
Monthly Atmospheric Carbon Dioxide Concentrations,1990-09-01,351.38
Monthly Atmospheric Carbon Dioxide Concentrations,1990-10-01,351.69
Monthly Atmospheric Carbon Dioxide Concentrations,1990-11-01,353.14
Monthly Atmospheric Carbon Dioxide Concentrations,1990-12-01,354.41
Monthly Atmospheric Carbon Dioxide Concentrations,1991-01-01,354.93
Monthly Atmospheric Carbon Dioxide Concentrations,1991-02-01,355.82
Monthly Atmospheric Carbon Dioxide Concentrations,1991-03-01,357.33
Monthly Atmospheric Carbon Dioxide Concentrations,1991-04-01,358.77
Monthly Atmospheric Carbon Dioxide Concentrations,1991-05-01,359.23
Monthly Atmospheric Carbon Dioxide Concentrations,1991-06-01,358.23
Monthly Atmospheric Carbon Dioxide Concentrations,1991-07-01,356.3
Monthly Atmospheric Carbon Dioxide Concentrations,1991-08-01,353.97
Monthly Atmospheric Carbon Dioxide Concentrations,1991-09-01,352.34
Monthly Atmospheric Carbon Dioxide Concentrations,1991-10-01,352.43
Monthly Atmospheric Carbon Dioxide Concentrations,1991-11-01,353.89
Monthly Atmospheric Carbon Dioxide Concentrations,1991-12-01,355.21
Monthly Atmospheric Carbon Dioxide Concentrations,1992-01-01,356.34
Monthly Atmospheric Carbon Dioxide Concentrations,1992-02-01,357.21
Monthly Atmospheric Carbon Dioxide Concentrations,1992-03-01,357.97
Monthly Atmospheric Carbon Dioxide Concentrations,1992-04-01,359.22
Monthly Atmospheric Carbon Dioxide Concentrations,1992-05-01,359.71
Monthly Atmospheric Carbon Dioxide Concentrations,1992-06-01,359.44
Monthly Atmospheric Carbon Dioxide Concentrations,1992-07-01,357.15
Monthly Atmospheric Carbon Dioxide Concentrations,1992-08-01,354.99
Monthly Atmospheric Carbon Dioxide Concentrations,1992-09-01,353.01
Monthly Atmospheric Carbon Dioxide Concentrations,1992-10-01,353.41
Monthly Atmospheric Carbon Dioxide Concentrations,1992-11-01,354.42
Monthly Atmospheric Carbon Dioxide Concentrations,1992-12-01,355.68
Monthly Atmospheric Carbon Dioxide Concentrations,1993-01-01,357.1
Monthly Atmospheric Carbon Dioxide Concentrations,1993-02-01,357.42
Monthly Atmospheric Carbon Dioxide Concentrations,1993-03-01,358.59
Monthly Atmospheric Carbon Dioxide Concentrations,1993-04-01,359.39
Monthly Atmospheric Carbon Dioxide Concentrations,1993-05-01,360.3
Monthly Atmospheric Carbon Dioxide Concentrations,1993-06-01,359.64
Monthly Atmospheric Carbon Dioxide Concentrations,1993-07-01,357.45
Monthly Atmospheric Carbon Dioxide Concentrations,1993-08-01,355.76
Monthly Atmospheric Carbon Dioxide Concentrations,1993-09-01,354.14
Monthly Atmospheric Carbon Dioxide Concentrations,1993-10-01,354.23
Monthly Atmospheric Carbon Dioxide Concentrations,1993-11-01,355.53
Monthly Atmospheric Carbon Dioxide Concentrations,1993-12-01,357.03
Monthly Atmospheric Carbon Dioxide Concentrations,1994-01-01,358.36
Monthly Atmospheric Carbon Dioxide Concentrations,1994-02-01,359.04
Monthly Atmospheric Carbon Dioxide Concentrations,1994-03-01,360.11
Monthly Atmospheric Carbon Dioxide Concentrations,1994-04-01,361.36
Monthly Atmospheric Carbon Dioxide Concentrations,1994-05-01,361.78
Monthly Atmospheric Carbon Dioxide Concentrations,1994-06-01,360.94
Monthly Atmospheric Carbon Dioxide Concentrations,1994-07-01,359.51
Monthly Atmospheric Carbon Dioxide Concentrations,1994-08-01,357.59
Monthly Atmospheric Carbon Dioxide Concentrations,1994-09-01,355.86
Monthly Atmospheric Carbon Dioxide Concentrations,1994-10-01,356.21
Monthly Atmospheric Carbon Dioxide Concentrations,1994-11-01,357.65
Monthly Atmospheric Carbon Dioxide Concentrations,1994-12-01,359.1
Monthly Atmospheric Carbon Dioxide Concentrations,1995-01-01,360.04
Monthly Atmospheric Carbon Dioxide Concentrations,1995-02-01,361.0
Monthly Atmospheric Carbon Dioxide Concentrations,1995-03-01,361.98
Monthly Atmospheric Carbon Dioxide Concentrations,1995-04-01,363.44
Monthly Atmospheric Carbon Dioxide Concentrations,1995-05-01,363.83
Monthly Atmospheric Carbon Dioxide Concentrations,1995-06-01,363.33
Monthly Atmospheric Carbon Dioxide Concentrations,1995-07-01,361.78
Monthly Atmospheric Carbon Dioxide Concentrations,1995-08-01,359.33
Monthly Atmospheric Carbon Dioxide Concentrations,1995-09-01,358.32
Monthly Atmospheric Carbon Dioxide Concentrations,1995-10-01,358.14
Monthly Atmospheric Carbon Dioxide Concentrations,1995-11-01,359.61
Monthly Atmospheric Carbon Dioxide Concentrations,1995-12-01,360.82
Monthly Atmospheric Carbon Dioxide Concentrations,1996-01-01,362.2
Monthly Atmospheric Carbon Dioxide Concentrations,1996-02-01,363.36
Monthly Atmospheric Carbon Dioxide Concentrations,1996-03-01,364.28
Monthly Atmospheric Carbon Dioxide Concentrations,1996-04-01,364.69
Monthly Atmospheric Carbon Dioxide Concentrations,1996-05-01,365.25
Monthly Atmospheric Carbon Dioxide Concentrations,1996-06-01,365.06
Monthly Atmospheric Carbon Dioxide Concentrations,1996-07-01,363.69
Monthly Atmospheric Carbon Dioxide Concentrations,1996-08-01,361.55
Monthly Atmospheric Carbon Dioxide Concentrations,1996-09-01,359.69
Monthly Atmospheric Carbon Dioxide Concentrations,1996-10-01,359.72
Monthly Atmospheric Carbon Dioxide Concentrations,1996-11-01,361.04
Monthly Atmospheric Carbon Dioxide Concentrations,1996-12-01,362.39
Monthly Atmospheric Carbon Dioxide Concentrations,1997-01-01,363.24
Monthly Atmospheric Carbon Dioxide Concentrations,1997-02-01,364.21
Monthly Atmospheric Carbon Dioxide Concentrations,1997-03-01,364.65
Monthly Atmospheric Carbon Dioxide Concentrations,1997-04-01,366.48
Monthly Atmospheric Carbon Dioxide Concentrations,1997-05-01,366.77
Monthly Atmospheric Carbon Dioxide Concentrations,1997-06-01,365.73
Monthly Atmospheric Carbon Dioxide Concentrations,1997-07-01,364.46
Monthly Atmospheric Carbon Dioxide Concentrations,1997-08-01,362.4
Monthly Atmospheric Carbon Dioxide Concentrations,1997-09-01,360.44
Monthly Atmospheric Carbon Dioxide Concentrations,1997-10-01,360.98
Monthly Atmospheric Carbon Dioxide Concentrations,1997-11-01,362.65
Monthly Atmospheric Carbon Dioxide Concentrations,1997-12-01,364.51
Monthly Atmospheric Carbon Dioxide Concentrations,1998-01-01,365.39
Monthly Atmospheric Carbon Dioxide Concentrations,1998-02-01,366.1
Monthly Atmospheric Carbon Dioxide Concentrations,1998-03-01,367.36
Monthly Atmospheric Carbon Dioxide Concentrations,1998-04-01,368.79
Monthly Atmospheric Carbon Dioxide Concentrations,1998-05-01,369.56
Monthly Atmospheric Carbon Dioxide Concentrations,1998-06-01,369.13
Monthly Atmospheric Carbon Dioxide Concentrations,1998-07-01,367.98
Monthly Atmospheric Carbon Dioxide Concentrations,1998-08-01,366.1
Monthly Atmospheric Carbon Dioxide Concentrations,1998-09-01,364.16
Monthly Atmospheric Carbon Dioxide Concentrations,1998-10-01,364.54
Monthly Atmospheric Carbon Dioxide Concentrations,1998-11-01,365.67
Monthly Atmospheric Carbon Dioxide Concentrations,1998-12-01,367.3
Monthly Atmospheric Carbon Dioxide Concentrations,1999-01-01,368.35
Monthly Atmospheric Carbon Dioxide Concentrations,1999-02-01,369.28
Monthly Atmospheric Carbon Dioxide Concentrations,1999-03-01,369.84
Monthly Atmospheric Carbon Dioxide Concentrations,1999-04-01,371.15
Monthly Atmospheric Carbon Dioxide Concentrations,1999-05-01,371.12
Monthly Atmospheric Carbon Dioxide Concentrations,1999-06-01,370.46
Monthly Atmospheric Carbon Dioxide Concentrations,1999-07-01,369.61
Monthly Atmospheric Carbon Dioxide Concentrations,1999-08-01,367.06
Monthly Atmospheric Carbon Dioxide Concentrations,1999-09-01,364.95
Monthly Atmospheric Carbon Dioxide Concentrations,1999-10-01,365.52
Monthly Atmospheric Carbon Dioxide Concentrations,1999-11-01,366.88
Monthly Atmospheric Carbon Dioxide Concentrations,1999-12-01,368.26
Monthly Atmospheric Carbon Dioxide Concentrations,2000-01-01,369.45
Monthly Atmospheric Carbon Dioxide Concentrations,2000-02-01,369.71
Monthly Atmospheric Carbon Dioxide Concentrations,2000-03-01,370.75
Monthly Atmospheric Carbon Dioxide Concentrations,2000-04-01,371.98
Monthly Atmospheric Carbon Dioxide Concentrations,2000-05-01,371.75
Monthly Atmospheric Carbon Dioxide Concentrations,2000-06-01,371.87
Monthly Atmospheric Carbon Dioxide Concentrations,2000-07-01,370.02
Monthly Atmospheric Carbon Dioxide Concentrations,2000-08-01,368.27
Monthly Atmospheric Carbon Dioxide Concentrations,2000-09-01,367.15
Monthly Atmospheric Carbon Dioxide Concentrations,2000-10-01,367.18
Monthly Atmospheric Carbon Dioxide Concentrations,2000-11-01,368.53
Monthly Atmospheric Carbon Dioxide Concentrations,2000-12-01,369.83
Monthly Atmospheric Carbon Dioxide Concentrations,2001-01-01,370.76
Monthly Atmospheric Carbon Dioxide Concentrations,2001-02-01,371.69
Monthly Atmospheric Carbon Dioxide Concentrations,2001-03-01,372.63
Monthly Atmospheric Carbon Dioxide Concentrations,2001-04-01,373.55
Monthly Atmospheric Carbon Dioxide Concentrations,2001-05-01,374.03
Monthly Atmospheric Carbon Dioxide Concentrations,2001-06-01,373.4
Monthly Atmospheric Carbon Dioxide Concentrations,2001-07-01,371.68
Monthly Atmospheric Carbon Dioxide Concentrations,2001-08-01,369.78
Monthly Atmospheric Carbon Dioxide Concentrations,2001-09-01,368.34
Monthly Atmospheric Carbon Dioxide Concentrations,2001-10-01,368.61
Monthly Atmospheric Carbon Dioxide Concentrations,2001-11-01,369.94
Monthly Atmospheric Carbon Dioxide Concentrations,2001-12-01,371.42
Monthly Atmospheric Carbon Dioxide Concentrations,2002-01-01,372.7
Monthly Atmospheric Carbon Dioxide Concentrations,2002-02-01,373.37
Monthly Atmospheric Carbon Dioxide Concentrations,2002-03-01,374.3
Monthly Atmospheric Carbon Dioxide Concentrations,2002-04-01,375.19
Monthly Atmospheric Carbon Dioxide Concentrations,2002-05-01,375.93
Monthly Atmospheric Carbon Dioxide Concentrations,2002-06-01,375.69
Monthly Atmospheric Carbon Dioxide Concentrations,2002-07-01,374.16
Monthly Atmospheric Carbon Dioxide Concentrations,2002-08-01,372.03
Monthly Atmospheric Carbon Dioxide Concentrations,2002-09-01,370.92
Monthly Atmospheric Carbon Dioxide Concentrations,2002-10-01,370.73
Monthly Atmospheric Carbon Dioxide Concentrations,2002-11-01,372.43
Monthly Atmospheric Carbon Dioxide Concentrations,2002-12-01,373.98
Monthly Atmospheric Carbon Dioxide Concentrations,2003-01-01,375.07
Monthly Atmospheric Carbon Dioxide Concentrations,2003-02-01,375.82
Monthly Atmospheric Carbon Dioxide Concentrations,2003-03-01,376.64
Monthly Atmospheric Carbon Dioxide Concentrations,2003-04-01,377.92
Monthly Atmospheric Carbon Dioxide Concentrations,2003-05-01,378.78
Monthly Atmospheric Carbon Dioxide Concentrations,2003-06-01,378.46
Monthly Atmospheric Carbon Dioxide Concentrations,2003-07-01,376.88
Monthly Atmospheric Carbon Dioxide Concentrations,2003-08-01,374.57
Monthly Atmospheric Carbon Dioxide Concentrations,2003-09-01,373.34
Monthly Atmospheric Carbon Dioxide Concentrations,2003-10-01,373.31
Monthly Atmospheric Carbon Dioxide Concentrations,2003-11-01,374.84
Monthly Atmospheric Carbon Dioxide Concentrations,2003-12-01,376.17
Monthly Atmospheric Carbon Dioxide Concentrations,2004-01-01,377.17
Monthly Atmospheric Carbon Dioxide Concentrations,2004-02-01,378.05
Monthly Atmospheric Carbon Dioxide Concentrations,2004-03-01,379.06
Monthly Atmospheric Carbon Dioxide Concentrations,2004-04-01,380.54
Monthly Atmospheric Carbon Dioxide Concentrations,2004-05-01,380.8
Monthly Atmospheric Carbon Dioxide Concentrations,2004-06-01,379.87
Monthly Atmospheric Carbon Dioxide Concentrations,2004-07-01,377.65
Monthly Atmospheric Carbon Dioxide Concentrations,2004-08-01,376.17
Monthly Atmospheric Carbon Dioxide Concentrations,2004-09-01,374.43
Monthly Atmospheric Carbon Dioxide Concentrations,2004-10-01,374.63
Monthly Atmospheric Carbon Dioxide Concentrations,2004-11-01,376.33
Monthly Atmospheric Carbon Dioxide Concentrations,2004-12-01,377.68
Monthly Atmospheric Carbon Dioxide Concentrations,2005-01-01,378.63
Monthly Atmospheric Carbon Dioxide Concentrations,2005-02-01,379.91
Monthly Atmospheric Carbon Dioxide Concentrations,2005-03-01,380.95
Monthly Atmospheric Carbon Dioxide Concentrations,2005-04-01,382.48
Monthly Atmospheric Carbon Dioxide Concentrations,2005-05-01,382.64
Monthly Atmospheric Carbon Dioxide Concentrations,2005-06-01,382.4
Monthly Atmospheric Carbon Dioxide Concentrations,2005-07-01,380.93
Monthly Atmospheric Carbon Dioxide Concentrations,2005-08-01,378.93
Monthly Atmospheric Carbon Dioxide Concentrations,2005-09-01,376.89
Monthly Atmospheric Carbon Dioxide Concentrations,2005-10-01,377.19
Monthly Atmospheric Carbon Dioxide Concentrations,2005-11-01,378.54
Monthly Atmospheric Carbon Dioxide Concentrations,2005-12-01,380.31
Monthly Atmospheric Carbon Dioxide Concentrations,2006-01-01,381.58
Monthly Atmospheric Carbon Dioxide Concentrations,2006-02-01,382.4
Monthly Atmospheric Carbon Dioxide Concentrations,2006-03-01,382.86
Monthly Atmospheric Carbon Dioxide Concentrations,2006-04-01,384.8
Monthly Atmospheric Carbon Dioxide Concentrations,2006-05-01,385.22
Monthly Atmospheric Carbon Dioxide Concentrations,2006-06-01,384.24
Monthly Atmospheric Carbon Dioxide Concentrations,2006-07-01,382.65
Monthly Atmospheric Carbon Dioxide Concentrations,2006-08-01,380.6
Monthly Atmospheric Carbon Dioxide Concentrations,2006-09-01,379.04
Monthly Atmospheric Carbon Dioxide Concentrations,2006-10-01,379.33
Monthly Atmospheric Carbon Dioxide Concentrations,2006-11-01,380.35
Monthly Atmospheric Carbon Dioxide Concentrations,2006-12-01,382.02
Monthly Atmospheric Carbon Dioxide Concentrations,2007-01-01,383.1
Monthly Atmospheric Carbon Dioxide Concentrations,2007-02-01,384.12
Monthly Atmospheric Carbon Dioxide Concentrations,2007-03-01,384.81
Monthly Atmospheric Carbon Dioxide Concentrations,2007-04-01,386.73
Monthly Atmospheric Carbon Dioxide Concentrations,2007-05-01,386.78
Monthly Atmospheric Carbon Dioxide Concentrations,2007-06-01,386.33
Monthly Atmospheric Carbon Dioxide Concentrations,2007-07-01,384.73
Monthly Atmospheric Carbon Dioxide Concentrations,2007-08-01,382.24
Monthly Atmospheric Carbon Dioxide Concentrations,2007-09-01,381.2
Monthly Atmospheric Carbon Dioxide Concentrations,2007-10-01,381.37
Monthly Atmospheric Carbon Dioxide Concentrations,2007-11-01,382.7
Monthly Atmospheric Carbon Dioxide Concentrations,2007-12-01,384.19
Monthly Atmospheric Carbon Dioxide Concentrations,2008-01-01,385.78
Monthly Atmospheric Carbon Dioxide Concentrations,2008-02-01,386.06
Monthly Atmospheric Carbon Dioxide Concentrations,2008-03-01,386.28
Monthly Atmospheric Carbon Dioxide Concentrations,2008-04-01,387.34
Monthly Atmospheric Carbon Dioxide Concentrations,2008-05-01,388.78
Monthly Atmospheric Carbon Dioxide Concentrations,2008-06-01,387.99
Monthly Atmospheric Carbon Dioxide Concentrations,2008-07-01,386.61
Monthly Atmospheric Carbon Dioxide Concentrations,2008-08-01,384.32
Monthly Atmospheric Carbon Dioxide Concentrations,2008-09-01,383.41
Monthly Atmospheric Carbon Dioxide Concentrations,2008-10-01,383.21
Monthly Atmospheric Carbon Dioxide Concentrations,2008-11-01,384.41
Monthly Atmospheric Carbon Dioxide Concentrations,2008-12-01,385.79
Monthly Atmospheric Carbon Dioxide Concentrations,2009-01-01,387.17
Monthly Atmospheric Carbon Dioxide Concentrations,2009-02-01,387.7
Monthly Atmospheric Carbon Dioxide Concentrations,2009-03-01,389.04
Monthly Atmospheric Carbon Dioxide Concentrations,2009-04-01,389.76
Monthly Atmospheric Carbon Dioxide Concentrations,2009-05-01,390.36
Monthly Atmospheric Carbon Dioxide Concentrations,2009-06-01,389.7
Monthly Atmospheric Carbon Dioxide Concentrations,2009-07-01,388.24
Monthly Atmospheric Carbon Dioxide Concentrations,2009-08-01,386.29
Monthly Atmospheric Carbon Dioxide Concentrations,2009-09-01,384.95
Monthly Atmospheric Carbon Dioxide Concentrations,2009-10-01,384.64
Monthly Atmospheric Carbon Dioxide Concentrations,2009-11-01,386.23
Monthly Atmospheric Carbon Dioxide Concentrations,2009-12-01,387.63
Monthly Atmospheric Carbon Dioxide Concentrations,2010-01-01,388.91
Monthly Atmospheric Carbon Dioxide Concentrations,2010-02-01,390.41
Monthly Atmospheric Carbon Dioxide Concentrations,2010-03-01,391.37
Monthly Atmospheric Carbon Dioxide Concentrations,2010-04-01,392.67
Monthly Atmospheric Carbon Dioxide Concentrations,2010-05-01,393.21
Monthly Atmospheric Carbon Dioxide Concentrations,2010-06-01,392.38
Monthly Atmospheric Carbon Dioxide Concentrations,2010-07-01,390.41
Monthly Atmospheric Carbon Dioxide Concentrations,2010-08-01,388.54
Monthly Atmospheric Carbon Dioxide Concentrations,2010-09-01,387.03
Monthly Atmospheric Carbon Dioxide Concentrations,2010-10-01,387.43
Monthly Atmospheric Carbon Dioxide Concentrations,2010-11-01,388.87
Monthly Atmospheric Carbon Dioxide Concentrations,2010-12-01,389.99
Monthly Atmospheric Carbon Dioxide Concentrations,2011-01-01,391.5
Monthly Atmospheric Carbon Dioxide Concentrations,2011-02-01,392.05
Monthly Atmospheric Carbon Dioxide Concentrations,2011-03-01,392.8
Monthly Atmospheric Carbon Dioxide Concentrations,2011-04-01,393.44
Monthly Atmospheric Carbon Dioxide Concentrations,2011-05-01,394.41
Monthly Atmospheric Carbon Dioxide Concentrations,2011-06-01,393.95
Monthly Atmospheric Carbon Dioxide Concentrations,2011-07-01,392.72
Monthly Atmospheric Carbon Dioxide Concentrations,2011-08-01,390.33
Monthly Atmospheric Carbon Dioxide Concentrations,2011-09-01,389.28
Monthly Atmospheric Carbon Dioxide Concentrations,2011-10-01,389.19
Monthly Atmospheric Carbon Dioxide Concentrations,2011-11-01,390.48
Monthly Atmospheric Carbon Dioxide Concentrations,2011-12-01,392.06
Monthly Atmospheric Carbon Dioxide Concentrations,2012-01-01,393.31
Monthly Atmospheric Carbon Dioxide Concentrations,2012-02-01,394.04
Monthly Atmospheric Carbon Dioxide Concentrations,2012-03-01,394.59
Monthly Atmospheric Carbon Dioxide Concentrations,2012-04-01,396.38
Monthly Atmospheric Carbon Dioxide Concentrations,2012-05-01,396.93
Monthly Atmospheric Carbon Dioxide Concentrations,2012-06-01,395.91
Monthly Atmospheric Carbon Dioxide Concentrations,2012-07-01,394.56
Monthly Atmospheric Carbon Dioxide Concentrations,2012-08-01,392.59
Monthly Atmospheric Carbon Dioxide Concentrations,2012-09-01,391.32
Monthly Atmospheric Carbon Dioxide Concentrations,2012-10-01,391.27
Monthly Atmospheric Carbon Dioxide Concentrations,2012-11-01,393.2
Monthly Atmospheric Carbon Dioxide Concentrations,2012-12-01,394.57
Monthly Atmospheric Carbon Dioxide Concentrations,2013-01-01,395.78
Monthly Atmospheric Carbon Dioxide Concentrations,2013-02-01,397.03
Monthly Atmospheric Carbon Dioxide Concentrations,2013-03-01,397.66
Monthly Atmospheric Carbon Dioxide Concentrations,2013-04-01,398.64
Monthly Atmospheric Carbon Dioxide Concentrations,2013-05-01,400.02
Monthly Atmospheric Carbon Dioxide Concentrations,2013-06-01,398.81
Monthly Atmospheric Carbon Dioxide Concentrations,2013-07-01,397.51
Monthly Atmospheric Carbon Dioxide Concentrations,2013-08-01,395.39
Monthly Atmospheric Carbon Dioxide Concentrations,2013-09-01,393.72
Monthly Atmospheric Carbon Dioxide Concentrations,2013-10-01,393.9
Monthly Atmospheric Carbon Dioxide Concentrations,2013-11-01,395.36
Monthly Atmospheric Carbon Dioxide Concentrations,2013-12-01,397.03
Monthly Atmospheric Carbon Dioxide Concentrations,2014-01-01,398.04
Monthly Atmospheric Carbon Dioxide Concentrations,2014-02-01,398.27
Monthly Atmospheric Carbon Dioxide Concentrations,2014-03-01,399.91
Monthly Atmospheric Carbon Dioxide Concentrations,2014-04-01,401.51
Monthly Atmospheric Carbon Dioxide Concentrations,2014-05-01,401.96
Monthly Atmospheric Carbon Dioxide Concentrations,2014-06-01,401.43
Monthly Atmospheric Carbon Dioxide Concentrations,2014-07-01,399.27
Monthly Atmospheric Carbon Dioxide Concentrations,2014-08-01,397.18
Monthly Atmospheric Carbon Dioxide Concentrations,2014-09-01,395.54
Monthly Atmospheric Carbon Dioxide Concentrations,2014-10-01,396.16
Monthly Atmospheric Carbon Dioxide Concentrations,2014-11-01,397.4
Monthly Atmospheric Carbon Dioxide Concentrations,2014-12-01,399.08
Monthly Atmospheric Carbon Dioxide Concentrations,2015-01-01,400.18
Monthly Atmospheric Carbon Dioxide Concentrations,2015-02-01,400.55
Monthly Atmospheric Carbon Dioxide Concentrations,2015-03-01,401.74
Monthly Atmospheric Carbon Dioxide Concentrations,2015-04-01,403.34
Monthly Atmospheric Carbon Dioxide Concentrations,2015-05-01,404.15
Monthly Atmospheric Carbon Dioxide Concentrations,2015-06-01,402.97
Monthly Atmospheric Carbon Dioxide Concentrations,2015-07-01,401.46
Monthly Atmospheric Carbon Dioxide Concentrations,2015-08-01,399.11
Monthly Atmospheric Carbon Dioxide Concentrations,2015-09-01,397.82
Monthly Atmospheric Carbon Dioxide Concentrations,2015-10-01,398.49
Monthly Atmospheric Carbon Dioxide Concentrations,2015-11-01,400.27
Monthly Atmospheric Carbon Dioxide Concentrations,2015-12-01,402.06
Monthly Atmospheric Carbon Dioxide Concentrations,2016-01-01,402.73
Monthly Atmospheric Carbon Dioxide Concentrations,2016-02-01,404.25
Monthly Atmospheric Carbon Dioxide Concentrations,2016-03-01,405.06
Monthly Atmospheric Carbon Dioxide Concentrations,2016-04-01,407.6
Monthly Atmospheric Carbon Dioxide Concentrations,2016-05-01,407.9
Monthly Atmospheric Carbon Dioxide Concentrations,2016-06-01,406.99
Monthly Atmospheric Carbon Dioxide Concentrations,2016-07-01,404.59
Monthly Atmospheric Carbon Dioxide Concentrations,2016-08-01,402.45
Monthly Atmospheric Carbon Dioxide Concentrations,2016-09-01,401.23
Monthly Atmospheric Carbon Dioxide Concentrations,2016-10-01,401.79
Monthly Atmospheric Carbon Dioxide Concentrations,2016-11-01,403.72
Monthly Atmospheric Carbon Dioxide Concentrations,2016-12-01,404.64
Monthly Atmospheric Carbon Dioxide Concentrations,2017-01-01,406.36
Monthly Atmospheric Carbon Dioxide Concentrations,2017-02-01,406.66
Monthly Atmospheric Carbon Dioxide Concentrations,2017-03-01,407.54
Monthly Atmospheric Carbon Dioxide Concentrations,2017-04-01,409.22
Monthly Atmospheric Carbon Dioxide Concentrations,2017-05-01,409.89
Monthly Atmospheric Carbon Dioxide Concentrations,2017-06-01,409.08
Monthly Atmospheric Carbon Dioxide Concentrations,2017-07-01,407.33
Monthly Atmospheric Carbon Dioxide Concentrations,2017-08-01,405.32
Monthly Atmospheric Carbon Dioxide Concentrations,2017-09-01,403.57
Monthly Atmospheric Carbon Dioxide Concentrations,2017-10-01,403.82
Monthly Atmospheric Carbon Dioxide Concentrations,2017-11-01,405.31
Monthly Atmospheric Carbon Dioxide Concentrations,2017-12-01,407.0
Monthly Atmospheric Carbon Dioxide Concentrations,2018-01-01,408.15
Monthly Atmospheric Carbon Dioxide Concentrations,2018-02-01,408.52
Monthly Atmospheric Carbon Dioxide Concentrations,2018-03-01,409.59
Monthly Atmospheric Carbon Dioxide Concentrations,2018-04-01,410.45
Monthly Atmospheric Carbon Dioxide Concentrations,2018-05-01,411.44
Monthly Atmospheric Carbon Dioxide Concentrations,2018-06-01,410.99
Monthly Atmospheric Carbon Dioxide Concentrations,2018-07-01,408.9
Monthly Atmospheric Carbon Dioxide Concentrations,2018-08-01,407.16
Monthly Atmospheric Carbon Dioxide Concentrations,2018-09-01,405.71
Monthly Atmospheric Carbon Dioxide Concentrations,2018-10-01,406.19
Monthly Atmospheric Carbon Dioxide Concentrations,2018-11-01,408.21
Monthly Atmospheric Carbon Dioxide Concentrations,2018-12-01,409.27
Monthly Atmospheric Carbon Dioxide Concentrations,2019-01-01,411.03
Monthly Atmospheric Carbon Dioxide Concentrations,2019-02-01,411.96
Monthly Atmospheric Carbon Dioxide Concentrations,2019-03-01,412.18
Monthly Atmospheric Carbon Dioxide Concentrations,2019-04-01,413.54
Monthly Atmospheric Carbon Dioxide Concentrations,2019-05-01,414.86
Monthly Atmospheric Carbon Dioxide Concentrations,2019-06-01,414.15
Monthly Atmospheric Carbon Dioxide Concentrations,2019-07-01,411.96
Monthly Atmospheric Carbon Dioxide Concentrations,2019-08-01,410.17
Monthly Atmospheric Carbon Dioxide Concentrations,2019-09-01,408.76
Monthly Atmospheric Carbon Dioxide Concentrations,2019-10-01,408.74
Monthly Atmospheric Carbon Dioxide Concentrations,2019-11-01,410.47
Monthly Atmospheric Carbon Dioxide Concentrations,2019-12-01,411.97
Monthly Atmospheric Carbon Dioxide Concentrations,2020-01-01,413.59
Monthly Atmospheric Carbon Dioxide Concentrations,2020-02-01,414.32
Monthly Atmospheric Carbon Dioxide Concentrations,2020-03-01,414.71
Monthly Atmospheric Carbon Dioxide Concentrations,2020-04-01,416.42
Monthly Atmospheric Carbon Dioxide Concentrations,2020-05-01,417.28
Monthly Atmospheric Carbon Dioxide Concentrations,2020-06-01,416.58
Monthly Atmospheric Carbon Dioxide Concentrations,2020-07-01,414.58
Monthly Atmospheric Carbon Dioxide Concentrations,2020-08-01,412.75
Monthly Atmospheric Carbon Dioxide Concentrations,2020-09-01,411.49
Monthly Atmospheric Carbon Dioxide Concentrations,2020-10-01,411.48
Monthly Atmospheric Carbon Dioxide Concentrations,2020-11-01,413.1
Monthly Atmospheric Carbon Dioxide Concentrations,2020-12-01,414.23
Monthly Atmospheric Carbon Dioxide Concentrations,2021-01-01,415.49
Monthly Atmospheric Carbon Dioxide Concentrations,2021-02-01,416.72
Monthly Atmospheric Carbon Dioxide Concentrations,2021-03-01,417.61
Monthly Atmospheric Carbon Dioxide Concentrations,2021-04-01,419.01
Monthly Atmospheric Carbon Dioxide Concentrations,2021-05-01,419.09
Monthly Atmospheric Carbon Dioxide Concentrations,2021-06-01,418.92
Monthly Atmospheric Carbon Dioxide Concentrations,2021-07-01,416.9
Monthly Atmospheric Carbon Dioxide Concentrations,2021-08-01,414.42
Monthly Atmospheric Carbon Dioxide Concentrations,2021-09-01,413.26
Monthly Atmospheric Carbon Dioxide Concentrations,2021-10-01,413.9
Monthly Atmospheric Carbon Dioxide Concentrations,2021-11-01,414.97
Monthly Atmospheric Carbon Dioxide Concentrations,2021-12-01,416.67
Monthly Atmospheric Carbon Dioxide Concentrations,2022-01-01,418.13
Monthly Atmospheric Carbon Dioxide Concentrations,2022-02-01,419.24
Monthly Atmospheric Carbon Dioxide Concentrations,2022-03-01,418.76
Monthly Atmospheric Carbon Dioxide Concentrations,2022-04-01,420.19
Monthly Atmospheric Carbon Dioxide Concentrations,2022-05-01,420.97
Monthly Atmospheric Carbon Dioxide Concentrations,2022-06-01,420.94
Monthly Atmospheric Carbon Dioxide Concentrations,2022-07-01,418.85
Monthly Atmospheric Carbon Dioxide Concentrations,2022-08-01,417.15
Monthly Atmospheric Carbon Dioxide Concentrations,2022-09-01,415.91
Monthly Atmospheric Carbon Dioxide Concentrations,2022-10-01,415.74
